Well,Date,TC MPN/100ml,E coli MPN/100 ml,ID,TC Lower_95,TC Upper_95,Ecoli Lower_95,Ecoli Upper_95
Taf-33-GUDI,4/19/2016,46.9,8.5,33,33.47,62.98,3.91,15.64
Ili-84-Non-GUDI,4/19/2016,1,0,84,0.05,5.49,0,0
Moa-93-Non-GUDI,4/19/2016,0,0,93,0,0,0,0
Mmi-89-GUDI,4/19/2016,46.2,11,89,31.14,65.5,5.69,20.08
Asu-128-Non-GUDI,4/19/2016,0,0,128,0,0,0,0
Faga-179-Non-GUDI,4/19/2016,4.1,0,179,1.65,9.52,0,0
Mmi-89-GUDI,5/20/2016,9.8,2,89,4.68,18.36,0.26,7.13
Faga-179-Non-GUDI,5/20/2016,0,0,179,0,0,0,0
Taf-33-GUDI,5/20/2016,24.2,3.1,33,15.82,35.69,0.69,8.94
Asu-128-Non-GUDI,5/20/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,5/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,5/20/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,6/21/2016,36.4,3,89,24.5,51.25,0.68,7.37
Faga-179-Non-GUDI,6/21/2016,0,0,179,0,0,0,0
Taf-33-GUDI,6/21/2016,11,1,33,5.69,20.08,0.05,5.49
Asu-128-Non-GUDI,6/21/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,6/21/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,6/21/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,7/12/2016,11,0,89,5.69,20.08,0,0
Faga-179-Non-GUDI,7/12/2016,0,0,179,0,0,0,0
Taf-33-GUDI,7/12/2016,41.4,0,33,27.86,58.56,0,0
Asu-128-Non-GUDI,7/12/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,7/12/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,7/12/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,8/24/2016,770.1,22.6,89,549,1094.03,13.87,34.47
Faga-179-Non-GUDI,8/24/2016,1,0,179,0.05,5.49,0,0
Taf-33-GUDI,8/24/2016,33.6,2,33,21.95,48.93,0.26,7.13
Asu-128-Non-GUDI,8/24/2016,1,0,128,0.05,5.49,0,0
Moa-93-Non-GUDI,8/24/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,8/24/2016,2,0,84,0.26,7.13,0,0
Mmi-89-GUDI,9/21/2016,2419.6,135.4,89,1630.4,4716.1,99.15,176.99
Faga-179-Non-GUDI,9/21/2016,0,0,179,0,0,0,0
Taf-33-GUDI,9/21/2016,72.9,6.3,33,54.78,94.64,2.9,13.71
Asu-128-Non-GUDI,9/21/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,9/21/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,9/21/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,10/20/2016,58.3,3.1,89,40.45,80.6,0.69,8.94
Faga-179-Non-GUDI,10/20/2016,0,0,179,0,0,0,0
Taf-33-GUDI,10/20/2016,25.3,0,33,16.06,37.67,0,0
Asu-128-Non-GUDI,10/20/2016,1,0,128,0.05,5.49,0,0
Moa-93-Non-GUDI,10/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,10/20/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,11/22/2016,48,8.6,89,31.14,65.5,4.45,16.87
Taf-33-GUDI,11/22/2016,28.2,5.2,33,17.9,42.25,2.29,11.94
Moa-93-Non-GUDI,11/22/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,11/22/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,12/20/2016,307.6,187.2,89,195.25,471.23,126.14,280.97
Taf-33-GUDI,12/20/2016,1413.2,93.3,33,924.92,2101.62,66.52,125.42
Moa-93-Non-GUDI,12/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,12/20/2016,9.8,0,84,4.68,18.36,0,0
Taf-81-GUDI,12/20/2016,2419.6,1732.9,81,1630.4,4716.1,1167.67,2709.47
Taf-61-GUDI,12/20/2016,313,25.9,61,217.03,439.49,16.44,39.09
Mmi-89-GUDI,1/23/2017,1732.9,105,89,1167.67,2709.47,74.83,143.88
Taf-33-GUDI,1/23/2017,85.2,39.5,33,59.07,118.25,25.85,57.03
Moa-93-Non-GUDI,1/23/2017,0,0,93,0,0,0,0
Ili-84-Non-GUDI,1/23/2017,0,0,84,0,0,0,0
Taf-81-GUDI,1/23/2017,2419.6,1299.7,81,1630.37,4716.1,850.36,1896.56
Taf-60-GUDI,1/23/2017,14.6,2,60,8.15,24.62,0.25,5.92
Mmi-89-GUDI,2/27/2017,133.4,21.8,89,95.13,177.91,13.42,33.9
Taf-33-GUDI,2/27/2017,48,3.1,33,33.27,67.18,0.69,8.94
Moa-93-Non-GUDI,2/27/2017,0,0,93,0,0,0,0
Ili-84-Non-GUDI,2/27/2017,1,0,84,0.05,5.49,0,0
Taf-81-GUDI,2/27/2017,217.8,76.7,81,207.08,423.17,54.64,106.2
Taf-60-GUDI,2/27/2017,0,0,60,0,0,0,0
Mmi-89-GUDI,3/22/2017,49.6,13.4,89,34.38,68.48,7.44,22.31
Taf-33-GUDI,3/22/2017,79.2,5.2,33,59.54,103.61,1.76,10.76
Moa-93-Non-GUDI,3/22/2017,0,0,93,0,0,0,0
Ili-84-Non-GUDI,3/22/2017,0,0,84,0,0,0,0
Taf-81-GUDI,3/22/2017,139.6,23.1,81,99.5,189.96,14.19,35.69
Taf-60-GUDI,3/22/2017,0,0,60,0,0,0,0
Mmi-89-GUDI,4/24/2017,7.5,1,89,3.56,14.87,0.05,5.49
Taf-33-GUDI,4/24/2017,68.4,1,33,47.45,96.17,0.05,5.49
Moa-93-Non-GUDI,4/24/2017,0,0,93,0,0,0,0
Ili-84-Non-GUDI,4/24/2017,0,0,84,0,0,0,0
Taf-81-GUDI,4/24/2017,104.6,10.9,81,74.57,142.05,5.63,19.49
Taf-60-GUDI,4/24/2017,14.8,0,60,8.53,25.06,0,0
Mmi-89-GUDI,5/15/2017,1986.3,58.8,89,1222.03,3300.23,41.9,79.46
Taf-33-GUDI,5/15/2017,96.1,58.6,33,66.62,135.34,40.65,81.52
Ili-84-Non-GUDI,5/15/2017,0,0,84,0,0,0,0
Taf-81-GUDI,5/15/2017,920.8,387.3,81,620.49,1282,245.86,567.04
Taf-60-GUDI,5/15/2017,117.2,31.3,60,81.25,163.87,20.47,45.99
Mmi-67-GUDI,5/15/2017,195.6,53.8,67,127.98,292.87,37.31,75.04
Taf-72-GUDI,5/15/2017,461.1,209.8,72,292.7,687.88,145.48,301.11
Mmi-89-GUDI,5/30/2017,38.3,1,89,25.77,53.75,0.05,5.49
Taf-33-GUDI,5/30/2017,116.9,2,33,85.59,155.94,0.26,7.13
Ili-84-Non-GUDI,5/30/2017,0,0,84,0,0,0,0
Taf-81-GUDI,5/30/2017,272.3,23.1,81,183.49,382.89,14.19,35.69
Taf-60-GUDI,5/30/2017,59.4,3.1,60,41.19,82.21,0.69,8.94
Mmi-67-GUDI,5/30/2017,72.3,7.5,67,51.52,96.4,3.56,14.87
Mmi-89-GUDI,6/28/2017,204.6,9.7,89,137.86,306.91,4.45,17.16
Taf-33-GUDI,6/28/2017,48.1,9.5,33,33.34,66.11,4.36,16.93
Ili-84-Non-GUDI,6/28/2017,2,0,84,0.26,7.13,0,0
Taf-81-GUDI,6/28/2017,1413.6,365.4,81,924.92,2101.62,231.94,555.45
Taf-60-GUDI,6/28/2017,28.1,7.5,60,18.41,41.26,3.56,14.87
Mmi-67-GUDI,6/28/2017,112.6,41,67,78.1,156.55,27.65,58.79
Taf-72-GUDI,6/28/2017,160.7,38.4,72,111.43,226.35,25.87,55.35
Taf-61-GUDI,6/28/2017,34.5,0,61,23.25,50.11,0,0
Mmi-89-GUDI,7/26/2017,14.6,2,89,8.15,24.62,0.26,7.13
Taf-33-GUDI,7/26/2017,35.5,3.1,33,23.2,51.98,0.69,8.94
Ili-84-Non-GUDI,7/26/2017,0,0,84,0,0,0,0
Taf-81-GUDI,7/26/2017,88,20.1,81,62.76,121,12.37,31.84
Taf-60-GUDI,7/26/2017,1,0,60,0.05,5.49,0,0
Mmi-67-GUDI,7/26/2017,33.6,10.7,67,21.99,48.77,5.11,18.54
Taf-72-GUDI,7/26/2017,93.2,6.3,72,64.6,129.08,2.9,13.71
Taf-61-GUDI,7/26/2017,0,0,61,0,0,0,0
Mmi-89-GUDI,9/5/2017,38.4,2,89,25.87,55.35,0.26,7.13
Taf-33-GUDI,9/5/2017,18.9,3.1,33,11.26,30.36,0.69,8.94
Ili-84-Non-GUDI,9/5/2017,0,0,84,0,0,0,0
Taf-81-GUDI,9/5/2017,154.1,24.3,81,115.85,203.46,15.44,37.06
Taf-60-GUDI,9/5/2017,17.3,4.1,60,10.31,28.15,1.65,9.52
Mmi-67-GUDI,9/5/2017,24.9,3.1,67,15.81,38.09,0.69,8.94
Taf-72-GUDI,9/5/2017,82.6,8.6,72,57.27,115.35,4.45,16.87
Taf-61-GUDI,9/5/2017,0,0,61,0,0,0,0
Ili-84-Non-GUDI,4/11/2016,0,0,84,0,0,0,0
Moa-93-Non-GUDI,4/11/2016,0,0,93,0,0,0,0
Mmi-67-GUDI,4/11/2016,1553.1,69.7,67,1016.2,2353.06,49.68,95.25
Taf-61-GUDI,4/11/2016,2419.6,601.5,61,1630.4,4716.1,440.55,804.45
Mmi-89-GUDI,4/11/2016,2419.6,107.6,89,1630.37,4716.1,78.79,145.41
Taf-72-GUDI,4/11/2016,1046.2,488.4,72,704.99,1509.03,310.04,721.45
Taf-33-GUDI,4/11/2016,172.7,22.6,33,129.87,226.35,13.87,34.47
Taf-81-GUDI,4/11/2016,2419.6,658.6,81,1630.4,4716.1,482.39,886.53
Taf-33-GUDI,4/22/2016,275.5,3.1,33,185.65,416.76,0.69,8.94
Taf-61-GUDI,4/22/2016,980.4,40.4,61,660.61,1410.16,27.25,57.41
Taf-72-GUDI,4/22/2016,403.4,18.7,72,295.49,526.15,10.77,29.98
Taf-81-GUDI,4/22/2016,2419.6,76.8,81,1630.4,4716.1,56.23,101.01
Mmi-89-GUDI,4/22/2016,128.7,6.3,89,94.24,167.99,2.9,13.71
Taf-60-GUDI,4/22/2016,38.4,7.4,60,25.87,55.35,3.24,14.4
Mmi-67-GUDI,4/22/2016,84.7,14.6,67,62.06,111.39,8.15,24.62
